solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
bfs-single_core,1,0.151221816,32.65234375,32.65234375,232,100,70c6d9987c5f6499
bfs-single_core,1,0.327389606,32.8515625,32.8515625,861,104,016bd1999bb2f999
bfs-single_core,1,0.496151531,32.109375,32.109375,1287,114,591647bdec2fffea
bfs-single_core,1,0.735002421,56.6484375,44.541015625,1325,167,519b31460122a3f8
bfs-single_core,1,0.285523507,36.0390625,36.0390625,448,116,cbada74c79c8f8bd
bfs-single_core,1,8.209209773,223.23046875,112.34161931818181,9918,121,2bb7a0a8590618cd
bfs-single_core,1,1.273528034,59.609375,54.609375,2279,132,51fd0992bf879e62
bfs-single_core,1,11.841696769,167.95703125,92.82310267857143,35842,83,803c7da3a7dae1cb
bfs-single_core,1,0.100656031,41.67578125,41.67578125,227,98,79832dc3bb7d3919
bfs-single_core,1,1.925441938,97.41796875,73.91796875,5765,90,8f7206f48f74b9c2
bfs-single_core,1,1.47471329,49.9453125,46.5703125,3665,104,7788ff3ec5927b53
bfs-single_core,1,0.139082349,57.41015625,57.41015625,257,81,109a4cac5ff03801
bfs-single_core,1,0.051716165,43.23046875,43.23046875,97,85,07c41818d05e9da6
bfs-single_core,1,0.190268866,43.515625,43.515625,294,80,c5507b7af06a2917
bfs-single_core,1,0.249014959,45.1640625,45.1640625,390,99,8693036747ee5f50
bfs-single_core,1,0.134625303,45.1796875,45.1796875,344,89,2b4038a9cd2b4db0
bfs-single_core,1,16.007157921,468.97265625,166.5470703125,24890,116,34bb763c4c564fb2
bfs-single_core,1,0.039845241,50.0546875,50.0546875,69,68,e7f178e902be81bb
bfs-single_core,1,5.603857505,185.78125,89.97767857142857,23922,81,873b0e5120997475
bfs-single_core,1,0.159315549,69.984375,69.984375,181,100,88a9f77054f7d9d5
bfs-single_core,1,33.131378278,1045.41796875,373.76880450581393,41919,140,7aa07a5ac45331e9
bfs-single_core,1,0.27715035,40.03515625,40.03515625,442,104,cbfc047e94d0d761
bfs-single_core,1,0.07736602,40.62109375,40.62109375,106,89,4f8758391c92ad57
bfs-single_core,1,33.363143419,898.625,316.0051448170732,73465,163,f655bff8c396e732
bfs-single_core,1,2.628429878,184.59375,108.5625,5605,179,eeef4ac91def585e
bfs-single_core,1,0.135686295,69.4296875,69.4296875,171,97,0a21e2587d14755a
bfs-single_core,1,4.55326952,203.203125,109.86979166666667,13813,153,4071342fcf735881
bfs-single_core,1,0.141696477,91.73828125,91.73828125,259,101,8305b6acfd2e112b
bfs-single_core,0,104.294003954,854.671875,470.5080400485437,300000,0,3bc1763b5b03f5f3
bfs-single_core,1,0.402720266,56.8359375,56.8359375,1076,124,7c70076a6d247f15
bfs-single_core,1,0.118665709,57.25,57.25,130,91,cff70d0164c3ded5
bfs-single_core,1,2.344839618,73.5703125,65.1953125,9393,111,c9b1e2f76d8de8a0
bfs-single_core,0,141.779163059,1292.07421875,709.7381696428571,300000,0,6d02c5c0f30c9fa3
bfs-single_core,1,109.287532641,1703.7890625,534.6573125,227784,140,469d0d7e26ff8654
bfs-single_core,1,0.220509953,36.88671875,36.88671875,423,116,113f672239b4a955
bfs-single_core,1,3.742224837,113.93359375,66.63671875,5079,120,eb054a987bae9a83
bfs-single_core,1,0.096922966,43.12890625,43.12890625,204,101,fa35f94800ba2919
bfs-single_core,1,0.057498092,43.54296875,43.54296875,96,78,ad34c0ce0286949c
bfs-single_core,1,0.27734593,44.4453125,44.4453125,278,101,9fdd65a50a25ed8d
bfs-single_core,1,1.358938423,57.71875,51.65625,1589,102,3375c04f9f75e9f4
bfs-single_core,0,200.718733063,1973.83203125,1116.9874723800506,300000,0,ed279408dbe86c2f
bfs-single_core,1,0.096639667,35.41015625,35.41015625,117,97,c9321fe6cde48aef
